% layer_num layer_name enable height start_z1 end_z2 material boundary ILD
49 M15 false 0.030 1.080 1.110 Tungsten boundary SiO2
50 VM15 false 0.030 1.110 1.140 Tungsten boundary SiO2
51 M16 false 0.030 1.110 1.140 Tungsten boundary SiO2
52 BVMD false 0.030 -0.160 -0.130 Tungsten boundary SiO2
53 BM0 false 0.030 -0.190 -0.160 Tungsten boundary SiO2
54 BV0 false 0.030 -0.220 -0.190 Tungsten boundary SiO2
55 BM1 false 0.030 -0.250 -0.220 Tungsten boundary SiO2
56 BV1 false 0.030 -0.280 -0.250 Tungsten boundary SiO2
57 BM2 false 0.030 -0.310 -0.280 Tungsten boundary SiO2
58 BV2 false 0.030 -0.340 -0.310 Tungsten boundary SiO2
59 BM3 false 0.030 -0.370 -0.340 Tungsten boundary SiO2
60 BV3 false 0.030 -0.400 -0.370 Tungsten boundary SiO2
61 BM4 false 0.030 -0.430 -0.400 Tungsten boundary SiO2
62 BV4 false 0.030 -0.460 -0.430 Tungsten boundary SiO2
63 BM5 false 0.030 -0.490 -0.460 Tungsten boundary SiO2
64 BV5 false 0.030 -0.520 -0.490 Tungsten boundary SiO2
65 BM6 false 0.030 -0.550 -0.520 Tungsten boundary SiO2
66 BV6 false 0.030 -0.580 -0.550 Tungsten boundary SiO2
67 BM7 false 0.030 -0.610 -0.580 Tungsten boundary SiO2
68 BV7 false 0.030 -0.640 -0.610 Tungsten boundary SiO2
69 BM8 false 0.030 -0.670 -0.640 Tungsten boundary SiO2
70 BV8 false 0.030 -0.700 -0.670 Tungsten boundary SiO2
71 BM9 false 0.030 -0.730 -0.700 Tungsten boundary SiO2
72 BV9 false 0.030 -0.760 -0.730 Tungsten boundary SiO2
73 BM10 false 0.030 -0.790 -0.760 Tungsten boundary SiO2
74 BV10 false 0.030 -0.820 -0.790 Tungsten boundary SiO2
75 BM11 false 0.030 -0.850 -0.820 Tungsten boundary SiO2
76 BV11 false 0.030 -0.880 -0.850 Tungsten boundary SiO2
77 BM12 false 0.030 -0.910 -0.880 Tungsten boundary SiO2
78 BV12 false 0.030 -0.940 -0.910 Tungsten boundary SiO2
79 BM13 false 0.030 -0.970 -0.940 Tungsten boundary SiO2
80 BV13 false 0.030 -1.000 -0.970 Tungsten boundary SiO2
81 BM14 false 0.030 -1.030 -1.000 Tungsten boundary SiO2
82 BV14 false 0.030 -1.060 -1.030 Tungsten boundary SiO2
83 BM15 false 0.030 -1.090 -1.060 Tungsten boundary SiO2
84 BV15 false 0.030 -1.120 -1.090 Tungsten boundary SiO2
85 BM16 false 0.030 -1.150 -1.120 Tungsten boundary SiO2
